Timestamp,ResponseTime,StatusCode
1773324449.921812,1132.009,200
1773324480.404534,192.365,200
1773324487.470601,159.329,200
1773324514.153651,1092.576,200
1773324524.139621,181.082,200
1773324525.225883,75.365,200
1773324537.227438,156.64700000000002,200
1773324539.16759,77.542,200
1773324539.231843,79.69500000000001,200
1773324548.468018,164.765,200
1773324555.933984,162.64100000000002,200
1773324571.764644,145.146,200
1773324600.391217,183.66299999999998,200
1773324600.748616,61.741,200
1773324622.479482,174.497,200
1773324628.266904,69.424,200
1773324628.481448,61.760000000000005,200
1773324635.338925,196.432,200
1773324635.607537,61.481,200
1773324636.972364,67.273,200
1773324637.896972,65.048,200
1773324648.656905,171.32,200
1773324665.473551,181.429,200
1773324670.016007,71.06800000000001,200
1773324671.199524,66.55,200
1773324677.674669,153.643,200
1773324678.589508,58.219,200
1773324682.947148,76.70299999999999,200
1773324691.77504,149.696,200
1773324697.65021,75.88799999999999,200
1773324701.881251,65.94999999999999,200
1773324704.055222,68.39,200
1773324712.5495,155.488,200
1773324713.837509,66.29400000000001,200
1773324716.125644,65.759,200
1773324728.851045,189.386,200
1773324736.552219,175.764,200
1773324741.537932,66.163,200
1773324744.233055,66.739,200
1773324757.687594,144.375,200
1773324767.270356,257.898,200
1773324772.762291,75.44800000000001,200
1773324779.657856,181.10899999999998,200
1773324787.774589,153.375,200
1773324790.143884,69.147,200
1773324794.605066,68.84,200
1773324796.646631,78.83900000000001,200
1773324798.862392,65.14200000000001,200
1773324801.736081,88.76599999999999,200
1773324803.056182,59.691,200
1773324803.859441,62.597,200
1773324809.534825,66.03,200
1773324811.950562,70.983,200
1773324812.840046,66.985,200
1773324823.029362,157.00900000000001,200
1773324841.667889,172.485,200
1773324844.637344,68.961,200
1773324852.764212,165.137,200
1773324854.799168,67.646,200
1773324863.611073,173.80499999999998,200
1773324869.12217,63.567,200
1773324869.383825,68.396,200
1773324871.653936,73.23599999999999,200
1773324874.711594,76.029,200
1773324877.772769,78.614,200
1773324878.423814,60.456,200
1773324883.081088,84.001,200
1773324884.935706,64.406,200
1773324890.911935,64.092,200
1773324892.714389,64.828,200
1773324892.984095,61.155,200
1773324900.298761,147.218,200
1773324901.433855,63.839999999999996,200
1773324906.336569,71.73100000000001,200
1773324906.699536,59.725,200
1773324916.975741,166.47899999999998,200
1773324920.238859,69.995,200
1773324927.789056,160.423,200
1773324941.687926,207.89,200
1773324942.137459,67.926,200
1773324942.284296,58.403999999999996,200
1773324952.535603,156.559,200
1773324953.998513,67.13,200
1773324959.011667,71.309,200
1773324959.538035,70.21,200
1773324970.655364,160.43699999999998,200
