Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/prod/process?video=video_cut.mp4,352,0,73,118.90482175856091,54.21843699878082,1132.690641001318,323.0,0.09909797369324495,0.0,73,150,160,160,170,190,270,960,1100,1100,1100
,Aggregated,352,0,73,118.90482175856091,54.21843699878082,1132.690641001318,323.0,0.09909797369324495,0.0,73,150,160,160,170,190,270,960,1100,1100,1100
